quarter_end,Ahmedabad,All India,Bengaluru,Chennai,Delhi,Jaipur,Kanpur,Kochi,Kolkata,Lucknow,Mumbai,NIFTY 50 (Price),Ahmedabad (indexed),All India (indexed),Bengaluru (indexed),Chennai (indexed),Delhi (indexed),Jaipur (indexed),Kanpur (indexed),Kochi (indexed),Kolkata (indexed),Lucknow (indexed),Mumbai (indexed),NIFTY 50 (Price) (indexed),Ahmedabad (qtr_log_return),All India (qtr_log_return),Bengaluru (qtr_log_return),Chennai (qtr_log_return),Delhi (qtr_log_return),Jaipur (qtr_log_return),Kanpur (qtr_log_return),Kochi (qtr_log_return),Kolkata (qtr_log_return),Lucknow (qtr_log_return),Mumbai (qtr_log_return),NIFTY 50 (Price) (qtr_log_return)
2010-06-30,93.22,94.24,98.64,102.73,100.72,95.31,91.74,89.61,77.88,88.82,90.63,5312.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,
2010-09-30,102.54,99.81,97.9,109.5,95.56,99.05,99.45,92.38,103.19,98.67,99.72,6029.95,110.0,105.91,99.25,106.59,94.88,103.92,108.4,103.09,132.5,111.09,110.03,113.5,0.095291,0.057435,-0.00753,0.06382,-0.05259,0.03849,0.080697,0.030444,0.281403,0.105169,0.095581,0.126676
2010-12-31,101.99,99.4,97.94,94.65,92.11,103.57,103.69,113.85,106.62,104.75,100.88,6134.5,109.41,105.48,99.29,92.13,91.45,108.67,113.03,127.05,136.9,117.94,111.31,115.47,-0.005378,-0.004081,0.000408,-0.145739,-0.036771,0.044623,0.041751,0.208971,0.032699,0.059796,0.011565,0.01719
2011-03-31,102.25,106.63,105.52,93.12,112.06,102.06,105.13,104.16,112.31,107.76,108.78,5833.75,109.69,113.15,106.97,90.65,111.26,107.08,114.6,116.24,144.21,121.32,120.03,109.81,0.002546,0.070189,0.074545,-0.016297,0.196051,-0.014687,0.013792,-0.088954,0.051992,0.02833,0.075396,-0.050269
2011-06-30,121.3,115.99,110.68,101.16,126.82,106.27,104.68,120.87,103.03,118.0,122.09,5647.4,130.12,123.08,112.21,98.47,125.91,111.5,114.11,134.88,132.29,132.85,134.71,106.3,0.170846,0.084093,0.047743,0.082814,0.123734,0.040422,-0.00429,0.148787,-0.086243,0.090778,0.115431,-0.032465
2011-09-30,130.43,119.44,107.83,110.37,124.8,109.57,106.75,104.95,105.02,123.08,131.42,4943.25,139.92,126.74,109.32,107.44,123.91,114.96,116.36,117.12,134.85,138.57,145.01,93.05,0.07257,0.029297,-0.026087,0.087135,-0.016056,0.030581,0.019582,-0.141232,0.019131,0.04215,0.07364,-0.133172
2011-12-31,137.12,125.48,138.6,110.74,136.74,108.26,108.54,103.05,103.16,131.94,122.79,4624.3,147.09,133.15,140.51,107.8,135.76,113.59,118.31,115.0,132.46,148.55,135.48,87.05,0.05002,0.049343,0.251036,0.003347,0.091369,-0.012028,0.016629,-0.01827,-0.01787,0.069513,-0.067923,-0.066698
2012-03-31,141.02,134.1,133.35,108.17,158.23,108.6,114.95,97.83,106.09,129.44,143.5,5295.55,151.28,142.3,135.19,105.3,157.1,113.94,125.3,109.17,136.22,145.73,158.34,99.68,0.028045,0.066474,-0.038615,-0.023481,0.145968,0.003136,0.057378,-0.051983,0.028007,-0.01913,0.155859,0.135542
2012-06-30,140.76,142.63,133.33,119.21,177.3,113.38,114.41,98.82,135.21,136.35,147.6,5278.9,151.0,151.34,135.17,116.04,176.03,118.96,124.71,110.28,173.61,153.51,162.86,99.37,-0.001845,0.061631,-0.00015,0.097183,0.113794,0.043074,-0.004709,0.010069,0.242541,0.052008,0.028171,-0.003149
2012-09-30,146.39,147.1,136.58,117.82,183.17,117.36,106.03,127.51,149.08,156.6,148.06,5703.3,157.04,156.09,138.46,114.69,181.86,123.14,115.58,142.29,191.42,176.31,163.37,107.36,0.039218,0.030859,0.024083,-0.011729,0.032571,0.034501,-0.076066,0.254895,0.097654,0.13847,0.003112,0.077327
2012-12-31,150.64,156.97,141.18,137.55,200.7,118.93,92.83,136.45,162.51,169.25,158.95,5905.1,161.6,166.57,143.13,133.89,199.27,124.78,101.19,152.27,208.67,190.55,175.38,111.15,0.028619,0.064993,0.033125,0.154829,0.091397,0.013289,-0.132952,0.067763,0.086256,0.077682,0.070972,0.034771
2013-03-31,155.01,160.84,141.94,137.43,213.11,129.37,90.87,124.2,169.41,166.17,159.53,5682.55,166.28,170.67,143.9,133.78,211.59,135.74,99.05,138.6,217.53,187.09,176.02,106.97,0.028597,0.024337,0.005369,-0.000873,0.059997,0.084141,-0.02134,-0.094065,0.041582,-0.018366,0.003642,-0.038416
2013-06-30,161.94,162.28,142.27,138.26,214.79,129.37,82.37,127.03,171.81,173.92,159.98,5842.2,173.72,172.2,144.23,134.59,213.25,135.74,89.79,141.76,220.61,195.81,176.52,109.97,0.043736,0.008897,0.002322,0.006021,0.007852,0.0,-0.098209,0.02253,0.014067,0.045584,0.002817,0.027707
2013-09-30,171.7,169.24,150.37,149.98,215.74,128.02,92.03,161.58,173.54,186.67,169.19,5735.3,184.19,179.58,152.44,145.99,214.2,134.32,100.32,180.31,222.83,210.17,186.68,107.96,0.058523,0.041979,0.055372,0.081366,0.004413,-0.01049,0.110893,0.240577,0.010019,0.070747,0.055974,-0.018467
2013-12-31,172.65,172.81,169.26,174.28,211.07,127.3,81.63,189.36,168.19,203.55,166.5,6304.0,185.21,183.37,171.59,169.65,209.56,133.56,88.98,211.32,215.96,229.17,183.71,118.66,0.005518,0.020907,0.118337,0.150161,-0.021884,-0.00564,-0.119918,0.15865,-0.031314,0.086569,-0.016027,0.094544
2014-03-31,169.37,180.49,184.29,179.27,229.29,119.97,78.35,166.22,169.78,212.48,175.45,6704.2,181.69,191.52,186.83,174.51,227.65,125.87,85.4,185.49,218.0,239.23,193.59,126.2,-0.019181,0.043495,0.085075,0.02823,0.082798,-0.059305,-0.041011,-0.130338,0.009409,0.042936,0.052359,0.06155
2014-06-30,173.0,188.04,180.4,179.2,241.7,120.6,99.4,166.9,194.0,223.3,183.21,7611.35,185.58,199.54,182.89,174.44,239.97,126.53,108.35,186.25,249.1,251.41,202.15,143.27,0.021206,0.040988,-0.021334,-0.000391,0.05271,0.005238,0.237966,0.004083,0.133355,0.049668,0.043279,0.126906
2014-09-30,183.2,193.05,174.6,172.8,251.0,131.7,101.8,184.2,209.3,238.7,185.93,7964.8,196.52,204.85,177.01,168.21,249.21,138.18,110.97,205.56,268.75,268.75,205.15,149.93,0.057287,0.026265,-0.032679,-0.036368,0.037756,0.088047,0.023858,0.098627,0.07591,0.066691,0.014737,0.045391
2014-12-31,187.69,202.04,183.08,187.34,273.21,143.58,106.97,180.94,210.77,243.37,188.02,8282.7,201.34,214.39,185.6,182.36,271.26,150.65,116.6,201.92,270.63,274.0,207.46,155.91,0.024213,0.045506,0.047426,0.08079,0.084788,0.086366,0.049538,-0.017857,0.006999,0.019375,0.011178,0.039137
